data_zone,intermediate_zone,count
S02002325,Central Shetland,10
S02002239,Central and South Inch,100
S02002181,Chapelhall East,10
S02002180,Chapelhall West,0
S02002379,"Chapelton, Glengavel and Sandford",0
S02001472,Charleston,5
S02002309,Cheviot East,10
S02002312,Cheviot West,5
S02002307,Chirnside and Area,10
S02002195,Chryston and Muirhead,10
S02001448,City Centre,90
S02002449,City Centre,65
S02001250,City Centre East,95
S02001932,City Centre East,135
S02001934,City Centre South,370
S02001249,City Centre West,155
S02001933,City Centre West,110
S02001400,"Clackmannan, Kennet and Forestmill",5
S02001568,Clarkston and Sheddens,10
S02001320,Clashindarroch,5
S02002150,Cleland,5
S02001675,Clermiston and Drumbrae,10
S02002176,Cliftonville,15
S02001582,Clovenstone and Wester Hailes,0
S02002354,Clydesdale South,5
S02002153,Clydesdale and New Stevenston,15
S02002173,Coatbridge West,10
S02002186,Coatdyke and Whinhall,30
S02002308,Coldstream and Area,10
S02001596,Colinton Mains and Firrhill,5
S02001581,Colinton and Kingsknowe,5
S02001434,Collin,15
S02002143,Coltness,5
S02001659,Comely Bank,5
S02001598,Comiston and Swanston,10
S02002224,"Comrie, Gilmerton and St Fillans",25
S02002199,Condorrat,5
S02002016,Conon,5
S02002451,Cornton,5
S02001679,Corstorphine,25
S02001678,Corstorphine North,0
S02001681,Corstorphine South,5
S02002245,Coupar Angus and Meigle,15
S02001256,Cove North,35
S02001255,Cove South,0
S02001384,Cowal North,35
S02001383,Cowal South,20
S02001771,Cowdenbeath North,10
S02001770,Cowdenbeath South,5
S02002441,Cowie,5
S02001924,Cowlairs and Port Dundas,15
S02002334,Coylton,10
S02001915,Craigend and Ruchazie,5
S02001636,Craigentinny,0
S02002341,Craigie,0
S02001454,Craigie and  Craigiebank,5
S02001663,"Craigleith, Orchard Brae and Crewe Toll",5
S02001593,Craiglockhart,10
S02001627,Craigmillar,20
S02002182,Craigneuk Airdrie,5
S02002139,Craigneuk Wishaw,5
S02002487,Craigshill,5
S02001857,Craigton,5
S02001833,Crail and Boarhills,20
S02001673,Cramond,5
S02001914,"Cranhill, Lightburn and Queenslie South",5
S02001299,Crathes and Torphins,10
S02002225,Crieff North,10
S02002226,Crieff South,20
S02001300,Cromar and Kildrummy,10
S02001561,Crookfur and Fruin,10
S02001847,Crookston North,0
S02001846,Crookston South,0
S02001557,Cross Stobbs,0
S02001743,Crossford Charlestown and Limekilns,15
S02002363,"Crossford, Braidwood and Yieldshields",5
S02001768,Crossgates and Halbeath,25
S02002429,Crosshouse and Lindsayfield,0
S02001504,"Crosshouse, Gatehead and Kilmaurs Rural",5
S02001333,Cruden,10
S02002077,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock",15
S02001236,Culter,10
S02001238,"Cults, Bieldside and Milltimber East",10
S02001237,"Cults, Bieldside and Milltimber West",0
S02002202,Cumbernauld Central,20
S02001272,Cummings Park,5
S02001484,Cumnock North,15
S02001481,Cumnock Rural,10
S02001483,Cumnock South and Craigens,5
S02001827,Cupar Central,25
S02001828,Cupar East,5
S02001826,Cupar West and Springfield,5
S02001578,Currie East,10
S02001577,Currie West,0
S02001829,Dairsie Ceres and Dunino,10
S02001416,Dalbeattie,15
S02001417,Dalbeattie Rural,20
S02001766,Dalgety Bay Central,5
S02001767,Dalgety Bay East,10
S02001765,Dalgety Bay West and Hillend,5
S02002066,Dalkeith,25
S02001893,Dalmarnock,5
S02001684,"Dalmeny, Kirkliston and Newbridge",20
S02002342,Dalmilling,5
S02002123,Dalry East and Rural,15
S02002124,Dalry West,0
S02001619,Dalry and Fountainbridge,40
S02001279,Danestone,5
S02001842,Darnley East,5
S02001843,Darnley North,5
S02001844,Darnley West,5
S02001489,Darvel,5
S02001498,Dean and New Farm Loch North,0
S02002493,Deans,5
S02001660,Deans Village,205
S02002483,Dedridge East,35
S02001330,Deer and Mormond,10
S02002315,Denholm and Hermitage,15
S02001284,Denmore,10
S02001930,Dennistoun,10
S02001927,Dennistoun North,10
S02001698,Denny - Nethermains,5
S02002017,Dingwall,25
S02001449,Docks and Wellgate,25
S02001399,Dollar and Muckhart,10
S02001477,Doon Valley North,0
S02001476,Doon Valley South,10
S02001457,Douglas East,0
S02001455,Douglas West,5
S02002368,"Douglas, Coalburn and Rigside",10
S02001957,Dowanhill,25
S02001467,Downfield,5
S02002100,Dreghorn,10
S02001479,Drongan,5
S02001975,Drumchapel North,0
S02001974,Drumchapel South,10
S02002189,Drumgelloch,10
S02001855,Drumoyne and Shieldhall,10
S02002172,Drumpellier and Langloan,0
S02001976,Drumry East,5
S02001977,Drumry West,5
S02001665,Drylaw,10
S02001633,Duddingston and Portobello South,5
S02001430,Dumfries Central,80
S02002455,Dunblane East,15
S02002456,Dunblane West,0
S02002350,"Dundonald, Loans and Symington",15
S02002171,Dundyvan,10
S02001296,"Dunecht, Durris and Drumoak",10
S02001753,Dunfermline Abbeyview North,10
S02001754,Dunfermline Abbeyview South,0
S02001745,Dunfermline Baldridgeburn,10
S02001750,Dunfermline Bellyeoman and Townhill,5
S02001748,Dunfermline Brucefield,10
S02001747,Dunfermline Central,50
S02001751,Dunfermline Duloch North and Lynebank,0
S02001755,Dunfermline Duloch South,5
S02001749,Dunfermline Garvock Hill,0
S02001746,Dunfermline Headwell,0
S02001756,Dunfermline Masterton,0
S02001744,Dunfermline Milesmark and Wellwood,0
S02001757,Dunfermline Pitcorthie East,5
S02001758,Dunfermline Pitcorthie West,5
S02001752,Dunfermline Touch and Woodmill,0
S02001696,Dunipace,5
S02001386,Dunoon,25
S02002304,Duns,10
S02001558,"Dunterlie, East Arthurlie and Dovecothall",30
S02001305,Durno-Chapel of Garioch,5
S02001278,Dyce,20
S02001796,Dysart,10
S02001565,Eaglesham and Waterfoot,5
S02002296,Earlston Stow and Clovernfords Area,10
S02001492,Earlston and Hurlford Rural,10
S02002389,Earnock,5
S02001285,East Cairngorms,35
S02002485,East Calder,10
S02001507,East Clober and Mains Estate,5
S02001676,East Craigs North,0
S02001677,East Craigs South,15
S02002217,East Kirkwall,10
S02002215,East Mainland,10
S02002422,East Mains,30
S02002326,East and West Mainland,5
S02001645,Easter Road and Hawkhill Avenue,5
S02001904,Easterhouse East,5
S02002068,Easthouses,5
S02001443,Eastriggs,5
S02002381,Eddlewood,0
S02002262,Elderslie and Phoenix,15
S02002088,Elgin Bishopmill East and Ladyhill,30
S02002089,Elgin Bishopmill West and Newfield,0
S02002084,Elgin Cathedral to Ashgrove and Pinefield,30
S02002087,Elgin Central West,20
S02001830,Elie Colinsburgh and Largoward,15
S02001313,Ellon East,20
S02001314,Ellon West,5
S02002243,Errol and Inchture,5
S02002284,Erskine Central,5
S02002283,Erskine East and Inchinnan,0
S02002285,Erskine West,5
S02002063,Eskbank,15
S02002320,Ettrick Yarrow and Liliesleaf Area,15
S02002306,Eyemouth,15
S02002386,Fairhill,0
S02002125,Fairlie and Rural,15
S02001599,Fairmilehead,5
S02001468,Fairmuir,15
S02001711,Falkirk - Bainsford and Langlees,5
S02001716,Falkirk - Bantaskin,5
S02001717,Falkirk - Camelon East,20
S02001718,Falkirk - Camelon West,5
S02001713,Falkirk - Grahamston,25
S02001720,Falkirk - Lochgreen and Lionthorn,5
S02001712,Falkirk - Merchiston and New Carron Village,10
S02001714,Falkirk - Middlefield,5
S02001719,Falkirk - Tamfourhill,0
S02001715,Falkirk - Town Centre and Callendar Park,55
S02001823,Falkland and Freuchie,10
S02002442,Fallin,5
S02002166,Fallside,25
S02001697,"Fankerton, Stoneywood and Denny Town",10
S02002408,Farme Cross and Gallowflat North,15
S02002478,Fauldhouse,5
S02002415,Fernhill and Cathkin,0
S02001604,Fernieside and Moredun South,5
S02001251,Ferryhill North,10
S02001252,Ferryhill South,10
S02001290,"Fetteresso, Netherley and Catter",10
S02002093,"Findhorn, Kinloss and Pluscarden Valley",15
S02001936,Finnieston and Kelvinhaugh,90
S02001463,Fintry,5
S02001939,Firhill,10
S02001397,"Fishcross, Devon Village and Coalsnaughton",5
S02002081,"Fochabers, Aultmore, Clochan and Ordiquish",10
S02001365,Forfar Central,25
S02001364,Forfar East,5
S02001366,Forfar West,5
S02002159,Forgewood,5
S02002094,Forres Central East and seaward,25
S02002095,Forres South West and Mannachie,5
S02001979,Fort William North,10
S02001980,Fort William South,50
S02002454,Forth,25
S02002357,"Forth, Braehead and Auchengray",5
S02001342,Fraserburgh Central-Academy,5
S02001343,Fraserburgh Harbour and Broadsea,25
S02001341,Fraserburgh Lochpots,5
S02001340,Fraserburgh Smiddyhill,5
S02001360,Friockheim,5
S02001263,"Froghall, Powis and Sunnybank",5
S02001318,Fyvie-Rothie,5
S02002297,Galashiels North,20
S02002299,Galashiels South,15
S02002298,Galashiels West,10
S02001931,Gallowgate North and Bellgrove,10
S02001491,Galston,15
S02002240,Gannochy and Walnut Grove,10
S02001328,Gardenstown and King Edward,10
S02001387,Garelochhead,15
S02001310,Garlogie and Elrick,10
S02001903,Garrowhill East and Swinton,5
S02001902,Garrowhill West,10
S02002192,Gartcosh and Marnock,10
S02001906,"Garthamlock, Auchinlea and Gartloch",15
S02001239,Garthdee,15
S02002184,Gartlea,5
S02001413,Gatehouse,20
S02001261,George Street,45
S02001429,Georgetown,0
S02001600,Gilmerton South and the Murrays,5
S02002331,Girvan Ailsa,20
S02002330,Girvan Glendoune,0
S02001954,Glasgow Harbour and Partick South,20
S02002380,"Glassford, Quarter and Allanton",15
S02002228,"Glenfarg, Dunning and Rhynd",10
S02001418,Glenkens,15
S02002191,Glenmavis and Greengairs,5
S02001803,Glenrothes Auchmuty,20
S02001810,Glenrothes Balfarg Pitcairn and Coul,0
S02001807,Glenrothes Balgeddie and Town Park,5
S02001809,Glenrothes Cadham and Pitcoudie,0
S02001802,Glenrothes Caskieberran and Rimbleton,0
S02001808,Glenrothes Collydean,0
S02001800,Glenrothes Macedonia and Tanshall,5
S02001805,Glenrothes Pitteuchar,15
S02001801,Glenrothes South Parks,0
S02001804,Glenrothes Stenton and Finglassie,10
S02001806,Glenrothes Woodside,5
S02001882,Glenwood North,5
S02001881,Glenwood South,0
S02001889,Gorbals and Hutchesontown,10
S02002072,Gorebridge and Middleton,5
S02001591,Gorgie East,5
S02001590,Gorgie West,15
S02002039,"Gourock Central, Upper East and IRH",15
S02002042,"Gourock East, Greenock West and Lyle Road",0
S02002038,Gourock Upper and West Central and Upper Larkfield,5
S02001856,Govan and Linthouse,25
S02001866,Govanhill East and Aikenhead,10
S02001865,Govanhill West,20
S02001602,"Gracemount, Southhouse and Burdiehouse",5
S02001503,"Grange, Howard and Gargieston",5
S02001733,Grangemouth - Bowhouse,5
S02001732,Grangemouth - Kersiebank,0
S02001730,Grangemouth - Newlands,5
S02001731,Grangemouth - Town Centre,15
S02001668,Granton South and Wardieburn,0
S02001670,Granton West and Salvesen,5
S02001669,Granton and Royston Mains,10
S02001643,Great Junction Street,30
S02001376,Greater Lochgilphead,10
S02001595,Greenbank and The Braids,0
S02002178,Greenend and Carnbroe,0
S02002200,Greenfaulds,10
S02001909,Greenfield,5
S02002431,Greenhills,5
S02002047,Greenock East,10
S02002046,Greenock Town Centre and East Central,55
S02002045,Greenock Upper Central,10
S02002043,Greenock West and Central,25
S02001444,Gretna,20
S02002242,"Guildtown, Balbeggie and St Madoes",10
S02002427,Hairmyres and Westwood West,10
S02002402,"Halfway, Hallside and Drumsagard",15
S02001721,Hallglen and Glen Village,0
S02002384,Hamilton Centre and Low Parks,60
S02001260,Hanover North,5
S02001259,Hanover South,25
S02002374,Hareleeshill,0
S02001531,Harestanes,0
S02001689,Harris,15
S02002149,Harthill and Salsburgh,10
S02002164,Hattonrigg,0
S02002317,Hawick Central,25
S02002319,Hawick North,5
S02002318,Hawick West End,15
S02002367,Hazelbank and Kirkfieldbank,5
S02001243,Hazlehead,10
S02001699,Head of Muir and Dennyloanhead,5
S02002345,Heathfield,5
S02001433,Heathhall,5
S02001274,Heathryfold and Middlefield,0
S02002082,"Heldon West, Fogwatt to Inchberry",5
S02001390,Helensburgh Centre,35
S02001391,Helensburgh East,0
S02001389,Helensburgh North,0
S02001388,Helensburgh West and Rhu,5
S02002391,High Blantyre,15
S02001702,High Bonnybridge and Greenhill,0
S02002413,High Crosshill,5
S02002459,Highland,60
S02001769,Hill of Beath and Kingseat,5
S02001528,Hillhead,10
S02001953,Hillhead,60
S02002390,Hillhouse,0
S02001854,Hillington,5
S02002444,Hillpark,5
S02001359,Hillside,5
S02001647,Hillside and Calton Hill,40
S02001450,Hilltown,25
S02002235,"Hillyland, Tulloch and Inveralmond",10
S02001268,Hilton,5
S02002338,Holmston and Forehill,5
S02002160,Holytown,10
S02002290,Houston North,5
S02002289,Houston South,0
S02002488,Howden,5
S02001301,Howe of Alford,15
S02001385,Hunter's Quay,10
S02001321,Huntly,15
S02001603,Hyvots and Gilmerton,5
S02001534,IZ01,10
S02002460,IZ01,5
S02001535,IZ02,5
S02002461,IZ02,35
S02001536,IZ03,0
S02002462,IZ03,5
S02001537,IZ04,25
S02002463,IZ04,5
S02001538,IZ05,5
S02002464,IZ05,10
S02001539,IZ06,0
S02002465,IZ06,5
S02001540,IZ07,15
S02002466,IZ07,0
S02001541,IZ08,5
S02002467,IZ08,10
S02001542,IZ09,15
S02002468,IZ09,5
S02001543,IZ10,20
S02002469,IZ10,5
S02001544,IZ11,5
S02002470,IZ11,5
S02001545,IZ12,0
S02002471,IZ12,30
S02001546,IZ13,15
S02002472,IZ13,5
S02001547,IZ14,10
S02002473,IZ14,10
S02001548,IZ15,5
S02002474,IZ15,10
S02001549,IZ16,25
S02002475,IZ16,10
S02001550,IZ17,20
S02002476,IZ17,30
S02001551,IZ18,30
S02002477,IZ18,15
S02001552,IZ19,5
S02001553,IZ20,15
S02001554,IZ21,10
S02001555,IZ22,20
S02001859,Ibrox,10
S02001860,Ibrox East and Cessnock,20
S02001319,"Insch, Oyne and Ythanwells",10
S02002021,Invergordon,10
S02002244,"Invergowrie, Longforgan and Abernyte",5
S02001764,Inverkeithing East,10
S02002036,Inverkip and Wemyss Bay,10
S02001652,"Inverleith, Goldenacre and Warriston",10
S02002000,Inverness Ballifeary and Dalneigh,10
S02001998,"Inverness Central, Raigmore and Longman",110
S02001999,Inverness Crown and Haugh,35
S02001989,Inverness Culloden and Balloch,5
S02001997,Inverness Drakies,5
S02001995,Inverness Drummond,10
S02001988,Inverness East Rural,15
S02001996,Inverness Hilton,0
S02001992,Inverness Inshes,5
S02002004,Inverness Kinmylies and South West,5
S02001994,Inverness Lochardil and Holm Mains,5
S02002002,Inverness Merkinch,5
S02002001,Inverness Muirtown,25
S02002003,Inverness Scorguie,0
S02001993,Inverness Slackbuie,5
S02001990,Inverness Smithton,5
S02002005,Inverness West Rural,20
S02001991,Inverness Westhill,5
S02001303,Inverurie North,10
S02001304,Inverurie South,35
S02002102,Irvine Bourtreehill,5
S02002101,Irvine Broomlands,0
S02002105,Irvine Castlepark North,0
S02002106,Irvine Castlepark South,5
S02002108,Irvine Central,35
S02002107,Irvine East,5
S02002109,Irvine Fullarton,25
S02002103,Irvine Girdle Toll and Staneca,0
S02002104,Irvine Perceton and Lawthorn,0
S02002099,Irvine Tarryholme,5
S02002218,Isles,10
S02002314,Jedburgh,15
S02001630,"Jewel, Brunstane and Newcraighall",20
S02002260,Johnstone North East,25
S02002259,Johnstone North West,10
S02002261,Johnstone South East,5
S02002258,Johnstone South West,0
S02001631,Joppa,10
S02002076,Keith and Fife Keith,15
S02002310,Kelso North,0
S02002311,Kelso South,20
S02001773,Kelty East,5
S02001772,Kelty West,0
S02001950,Kelvindale,10
S02001952,Kelvingrove and University,55
S02001958,Kelvinside and Jordanhill,20
S02001302,Kemnay,5
S02001821,Kennoway and Bonnybank,10
S02001940,Keppochhill,10
S02001517,Kessington East,0
S02001516,Kessington West,10
S02001822,Kettle and Ladybank,10
S02001509,Keystone and Dougalston,15
S02002257,Kilbarchan,5
S02002131,Kilbirnie North,10
S02002132,Kilbirnie South and Longbar,5
S02002203,Kildrum,0
S02002034,Kilmacolm Central,10
S02002035,"Kilmacolm, Quarriers, Greenock Upper East/Central",5
S02001510,Kilmardinny East,5
S02001511,Kilmardinny West,10
S02001495,Kilmarnock South Central and Caprington,20
S02001505,Kilmaurs,10
S02002211,Kilsyth Bogside,5
S02002210,Kilsyth East and Croy,20
S02002122,Kilwinning Central and North,15
S02002120,Kilwinning Pennyburn,0
S02002121,Kilwinning West and Blacklands,0
S02002119,Kilwinning Whitehirst Park and Woodside,0
S02001738,Kincardine,10
S02001253,"Kincorth, Leggart and Nigg North",5
S02001254,"Kincorth, Leggart and Nigg South",5
S02002447,King's Park and Torbrex,15
S02001427,Kingholm,20
S02001782,Kinghorn,10
S02001885,Kingspark North,5
S02001884,Kingspark South,5
S02001862,Kingston West and Dumbreck,10
S02001275,Kingswells,15
S02001861,Kinning Park and Festival Park,20
S02002220,Kinross,15
S02001306,Kintore,10
S02001379,Kintyre Trail,15
S02002438,Kippen and Fintry,10
S02001785,Kirkcaldy Bennochy East,0
S02001786,Kirkcaldy Bennochy West,5
S02001784,Kirkcaldy Central,50
S02001792,Kirkcaldy Chapel,10
S02001791,Kirkcaldy Dunnikier,0
S02001795,Kirkcaldy Gallatown and Sinclairtown,10
S02001793,Kirkcaldy Hayfield and Smeaton,5
S02001783,Kirkcaldy Linktown & Seafield,5
S02001788,Kirkcaldy Newliston and Redcraigs,0
S02001794,Kirkcaldy Pathhead,10
S02001787,Kirkcaldy Raith,0
S02001790,Kirkcaldy Templehall East,5
S02001789,Kirkcaldy Templehall West,5
S02001414,Kirkcudbright,20
S02001526,Kirkintilloch South,0
S02001527,Kirkintilloch West,25
S02002370,Kirkmuirhill and Blackwood,5
S02002170,Kirkshaws,5
S02001466,Kirkton,5
S02002169,Kirkwood and Bargeddie,5
S02001368,Kirriemuir,15
S02001367,Kirriemuir Landward,5
S02001377,Knapdale,20
S02002491,Knightsridge,10
S02002492,Knightsridge and Deans North,5
S02001967,Knightswood East,0
S02001969,Knightswood Park East,0
S02001968,Knightswood Park West,0
S02001966,Knightswood West,5
S02002156,Ladywell,5
S02002490,Ladywell,5
S02002385,Laighstonehall,5
S02002365,Lanark North East,10
S02002364,Lanark North West,10
S02002366,Lanark South,20
S02001438,Langholm and Eskdale,10
S02002300,Langlee,0
S02001872,Langside,0
S02001703,Larbert - North Broomage and Inches,10
S02001704,Larbert - South Broomage and Village,15
S02001820,Largo,10
S02002128,Largs Central and Cumbrae,30
S02002129,Largs North,15
S02002127,Largs South,5
S02002373,"Larkhall Central, Raploch, Millheugh and Burnhead",25
S02002302,Lauder and Area,10
S02001890,Laurieston and Tradeston,45
S02001729,Laurieston and Westquarter,5
S02001469,Law,10
S02002358,Law,0
S02001646,Leith (Albert Street),15
S02001639,Leith (Hermitage and Prospect Bank),5
S02001533,Lennoxtown,10
S02001524,Lenzie North,5
S02001525,Lenzie South,10
S02002324,Lerwick North,45
S02002323,Lerwick South,5
S02001799,Leslie and Newcastle,10
S02002369,Lesmahagow,10
S02002234,Letham,5
S02001363,Letham and Glamis,10
S02001838,Leuchars and Guardbridge,5
S02001817,Leven East,20
S02001819,Leven North,0
S02001818,Leven West,0
S02002083,"Lhanbryde, Urquhart, Pitgavney and seaward",0
S02001606,Liberton East,5
S02001607,Liberton West and Braid Hills,5
S02001464,Linlathen and Midcraigie,15
S02002508,Linlithgow Bridge,25
S02002509,Linlithgow North,5
S02002507,Linlithgow South,5
S02002288,Linwood North,0
S02002287,Linwood South,10
S02002388,Little Earnock,5
S02002489,Livingston Village and Eliburn South,5
S02002059,Loanhead,15
S02001374,Loch Awe,20
S02002006,Loch Ness,50
S02001981,Lochaber East and North,65
S02001978,Lochaber West,65
S02002007,Lochalsh,30
S02001432,Locharbriggs,0
S02001473,Lochee,15
S02001777,Lochgelly East,10
S02001778,Lochgelly West and Lumphinnans,0
S02001435,Lochmaben,5
S02001774,Lochore and Crosshill,5
S02001423,Lochside and Lincluden,5
S02002343,"Lochside, Braehead and Whitletts",5
S02002254,Lochwinnoch,10
S02001436,Lockerbie,20
S02001447,Logie and Blackness,5
S02001392,Lomond Shore,15
S02001338,Longside and Rattray,5
S02001588,Longstone and Saughton,5
S02002090,Lossiemouth East and Seatown,15
S02002091,Lossiemouth West,10
S02002393,Low Blantyre and Bardykes,5
S02002382,Low Waters,10
S02002041,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",0
S02001573,Lower Whitecraigs and South Giffnock,5
S02001356,Lunan,5
S02002251,Luncarty and Dunkeld,25
S02001327,Macduff,10
S02001410,Machars North,5
S02001411,Machars South,20
S02001726,Maddiston and Rumford,5
S02001613,Marchmont East and Sciennes,15
S02001614,Marchmont West,5
S02001811,Markinch and Star,5
S02001947,Maryhill East,0
S02001948,Maryhill West,10
S02001270,Mastrick,5
S02001480,Mauchline,10
S02001478,Mauchline Rural,5
S02001869,Maxwell Park,5
S02002332,Maybole,10
S02002069,Mayfield,5
S02001625,Meadowbank and Abbeyhill North,10
S02001621,Meadows and Southside,70
S02001289,Mearns North and Inverbervie,15
S02001288,Mearns South and Benholm,10
S02001562,"Mearns Village, Westacres and Greenfarm",10
S02001287,Mearns and Laurencekirk,10
S02001564,Mearnskirk and South Kirkhill,5
S02002301,Melrose and Tweedbank Area,15
S02001395,Menstrie,5
S02001471,Menzieshill,10
S02001616,Merchiston and Greenhill,20
S02001572,Merrylee and Braidbar,5
S02001877,Merrylee and Millbrae,0
S02002372,Merryton and Meadowhill,5
S02001816,Methil East,5
S02001814,Methil Methilhill,5
S02001815,Methil West,5
S02001375,Mid Argyll,25
S02002484,Mid Calder and Kirknewton,10
S02001421,Mid Nithsdale,10
S02001245,Midstocket,5
S02002221,Milnathort and Crook of Devon,5
S02002161,Milnwood,10
S02001944,Milton East,0
S02001943,Milton West,10
S02001532,Milton of Campsie,0
S02001331,Mintlaw,10
S02001437,Moffat,20
S02002230,Moncrieffe and Friarton,10
S02001347,Monifieth East,15
S02001346,Monifieth West,0
S02001345,Monikie,10
S02001358,Montrose North,10
S02001357,Montrose South,35
S02002197,Moodiesburn East,5
S02002196,Moodiesburn West,5
S02001605,Moredun and Craigour,5
S02001615,Morningside,20
S02001594,Morningside and Craighouse,10
S02001601,Mortonhall and Anwickhill,5
S02002428,Mossneuk and Newlandsmuir,0
S02001858,Mosspark,5
S02002080,"Mosstodloch, Portgordon and seaward",0
S02002158,Motherwell North,5
S02002155,Motherwell South,50
S02002157,Motherwell West,0
S02001887,Mount Florida,15
S02001899,Mount Vernon North and Sandyhills,0
S02001634,Mountcastle,5
S02002015,Muir of Ord,10
S02001878,Muirend and Old Cathcart,5
S02002351,Muirhead,5
S02001671,Muirhouse,5
S02002137,Muirhouse,5
S02002138,Muirhouse and Knowetop,20
S02002237,Muirton,5
S02001370,"Mull, Iona, Coll and Tiree",45
S02001584,Murrayburn and Wester Hailes North,0
S02001662,Murrayfield and Ravelston,10
S02002222,"Muthill, Greenloaning and Gleneagles",10
S02001986,Nairn East,20
S02001985,Nairn Rural,15
S02001987,Nairn West,15
S02001556,Neilston and Uplawmoor,10
S02002416,Nerston and EK Landward Area,15
S02001571,Netherlee,5
S02002136,Netherton and Kirkhill,5
S02001426,New Abbey,15
S02001482,New Cumnock,5
S02002085,New Elgin East,5
S02002086,New Elgin West,5
S02001497,New Farm Loch South,0
S02001329,New Pitsligo,10
S02001655,New Town East and Gayfield,30
S02001656,New Town West,95
S02002151,Newarthill,5
S02002062,Newbattle and Dalhousie,10
S02001825,Newburgh,5
S02001611,Newington and Dalkeith Road,30
S02001876,Newlands,10
S02001311,Newmachar and Fintray,5
S02002145,Newmains,15
S02001490,Newmilns,5
S02001841,Newport and Wormit,5
S02002344,Newton North,5
S02001412,Newton Stewart,35
S02002070,Newtongrange,5
S02001293,Newtonhill,5
S02001628,Niddrie,0
S02001845,Nitshill,25
S02001907,North Barlanark and Easterhouse South,5
S02001512,North Castlehill and Thorn,5
S02001574,North Giffnock and North Thornliebank,20
S02002071,North Gorebridge,5
S02002238,North Inch,10
S02001951,North Kelvin,10
S02001566,North Kirkhill,0
S02001641,North Leith and Newhaven,20
S02002327,North Mainland,20
S02002236,North Muirton and Old Scone,5
S02001763,North Queensferry and Inverkeithing West,10
S02002074,North Speyside,20
S02002328,North and East Isles,10
S02001486,Northern and Irvine Valley Rural,10
S02001273,Northfield,5
S02001635,Northfield and Piershill,10
S02001691,Northwest Lewis,5
S02001431,Nunholm,20
S02001739,Oakley Comrie and Blairhall,10
S02001372,Oban North,60
S02001371,Oban South,25
S02001265,Old Aberdeen,5
S02001912,Old Shettleston and Parkhead North,10
S02001622,"Old Town, Princes Street and Leith Street",400
S02001281,Oldmachar East,10
S02001280,Oldmachar West,0
S02002162,Orbiston,0
S02002135,Overtown,0
S02001597,Oxgangs,0
S02002274,Paisley Central,75
S02002272,Paisley Dykebar,0
S02002273,Paisley East,0
S02002263,Paisley Ferguslie,0
S02002266,Paisley Foxbar,0
S02002277,Paisley Gallowhill and Hillington,10
S02002269,Paisley Glenburn East,0
S02002268,Paisley Glenburn West,0
S02002278,Paisley North,50
S02002275,Paisley North East,20
