Table 2: Weekly provisional1 figures on all deaths registered2 in Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week number3,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,,Year to Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week beginning,,30-Dec-19,6-Jan-20,13-Jan-20,20-Jan-20,27-Jan-20,3-Feb-20,10-Feb-20,17-Feb-20,24-Feb-20,2-Mar-20,9-Mar-20,16-Mar-20,23-Mar-20,30-Mar-20,6-Apr-20,13-Apr-20,20-Apr-20,27-Apr-20,4-May-20,11-May-20,18-May-20,25-May-20,1-Jun-20,8-Jun-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total deaths from all causes,," 1,161 "," 1,567 "," 1,322 "," 1,226 "," 1,188 "," 1,216 "," 1,162 "," 1,162 "," 1,171 "," 1,208 "," 1,198 "," 1,196 "," 1,079 "," 1,744 "," 1,978 "," 1,916 "," 1,836 "," 1,679 "," 1,435 "," 1,421 "," 1,226 "," 1,128 "," 1,093 "," 1,032 ",," 32,344 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total deaths females,, 616 , 817 , 671 , 627 , 580 , 616 , 544 , 596 , 591 , 623 , 588 , 580 , 578 , 837 , 927 , 938 , 961 , 854 , 745 , 696 , 636 , 577 , 516 , 525 ,," 16,239 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total deaths males,, 545 , 750 , 651 , 599 , 608 , 600 , 618 , 566 , 580 , 585 , 610 , 616 , 501 , 907 ," 1,051 ", 978 , 875 , 825 , 690 , 725 , 590 , 551 , 577 , 507 ,," 16,105 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total deaths: average of corresponding,," 1,276 "," 1,560 "," 1,382 "," 1,317 "," 1,280 "," 1,254 "," 1,259 "," 1,247 "," 1,165 "," 1,229 "," 1,169 "," 1,120 "," 1,118 "," 1,098 "," 1,100 "," 1,067 "," 1,087 "," 1,079 "," 1,034 "," 1,064 "," 1,045 "," 1,017 "," 1,056 "," 1,000 ",," 28,023 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week over the previous 5 years4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Under 1 year,3,0,3,1,3,6,4,2,2,3,5,4,5,3,6,3,2,1,2,4,4,2,4,2,, 74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-14,1,3,0,3,3,4,1,2,3,0,2,0,1,2,2,0,1,1,2,2,3,2,0,1,, 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-44,24,59,36,50,31,31,39,45,47,48,51,41,26,61,55,47,54,51,39,57,46,46,51,52,," 1,087 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-64,153,215,193,171,174,170,166,151,165,173,183,189,146,226,241,214,230,207,182,203,164,165,164,139,," 4,384 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-74,197,288,239,231,214,211,240,224,214,217,225,228,202,333,330,295,309,270,241,231,215,197,206,204,," 5,761 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-84,372,428,385,343,368,378,328,354,333,360,331,363,317,542,641,606,578,479,467,406,349,329,322,310,," 9,689 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85+,411,574,466,427,395,416,384,384,407,407,401,371,382,577,703,751,662,670,502,518,445,387,346,324,," 11,310 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females,Under 1 year,1,0,1,1,2,1,0,1,0,3,3,3,4,2,1,3,1,1,1,2,2,0,3,1,, 37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-14,1,1,0,0,2,2,0,1,2,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,, 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-44,11,17,9,14,12,15,8,17,16,21,25,11,10,18,22,15,19,16,17,16,17,18,12,16,, 372 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-64,61,95,80,80,63,64,64,65,73,71,75,81,56,101,78,75,84,61,80,71,68,61,47,49,," 1,703 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-74,81,127,107,104,96,92,96,101,95,86,87,91,89,127,122,115,134,126,97,98,82,81,90,92,," 2,416 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-84,195,220,186,155,173,191,143,172,152,178,163,171,171,251,300,283,285,230,245,184,174,158,164,151,," 4,695 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85+,266,357,288,273,232,251,233,239,253,264,235,223,248,337,403,447,438,419,305,323,293,258,200,216,," 7,001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,Under 1 year,2,0,2,0,1,5,4,1,2,0,2,1,1,1,5,0,1,0,1,2,2,2,1,1,, 37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01-14,0,2,0,3,1,2,1,1,1,0,2,0,1,1,1,0,1,0,2,0,3,1,0,1,, 24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15-44,13,42,27,36,19,16,31,28,31,27,26,30,16,43,33,32,35,35,22,41,29,28,39,36,, 715 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45-64,92,120,113,91,111,106,102,86,92,102,108,108,90,125,163,139,146,146,102,132,96,104,117,90,," 2,681 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65-74,116,161,132,127,118,119,144,123,119,131,138,137,113,206,208,180,175,144,144,133,133,116,116,112,," 3,345 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75-84,177,208,199,188,195,187,185,182,181,182,168,192,146,291,341,323,293,249,222,222,175,171,158,159,," 4,994 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85+,145,217,178,154,163,165,151,145,154,143,166,148,134,240,300,304,224,251,197,195,152,129,146,108,," 4,309 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by NHS Board of usual residence 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ayrshire and Arran,105,121,114,103,96,88,76,105,99,105,109,101,108,121,131,158,139,122,100,120,99,88,75,88,," 2,571 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borders,20,41,38,29,27,24,25,23,35,32,29,36,23,42,37,31,30,27,24,28,32,18,33,27,, 711 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dumfries and Galloway,37,58,42,42,43,44,43,39,37,40,36,41,28,73,53,42,43,45,35,39,31,33,31,37,, 992 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fife,70,96,96,96,79,81,80,88,79,79,80,70,98,82,109,113,102,110,91,81,67,90,71,51,," 2,059 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forth Valley,76,92,68,78,67,55,73,65,57,75,55,66,74,96,110,85,97,107,104,85,59,50,69,63,," 1,826 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grampian,113,148,122,117,109,131,119,131,111,106,128,132,112,141,158,169,147,139,128,110,97,110,111,95,," 2,984 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greater Glasgow and Clyde,250,353,296,235,264,245,243,238,255,283,244,264,167,479,499,482,518,410,344,342,308,245,236,235,," 7,435 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Highland,75,95,94,77,82,69,68,66,78,70,78,72,70,102,100,107,94,78,83,83,73,74,73,67,," 1,928 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lanarkshire,138,194,165,161,151,169,155,144,136,151,143,138,137,231,274,272,238,207,207,168,151,142,134,129,," 4,135 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lothian,166,196,155,165,154,191,171,152,171,166,182,169,144,228,313,271,258,280,207,224,189,156,154,135,," 4,597 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orkney,1,5,2,4,2,5,3,1,4,5,6,7,8,9,11,4,6,3,2,5,8,5,8,2,, 116 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shetland,5,4,2,2,5,6,4,4,3,4,3,3,9,8,8,3,2,6,6,6,2,5,3,4,, 107 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tayside,96,156,118,107,99,97,99,98,96,86,94,92,96,126,167,171,152,140,102,126,105,105,90,89,," 2,707 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Isles,9,8,10,10,10,11,3,8,10,6,11,5,5,6,8,8,10,5,2,4,5,7,5,10,, 176 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by Council Area of usual residence5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen City,38,56,46,39,49,47,41,49,50,55,43,47,38,62,56,64,45,56,37,42,48,49,45,35,,"1,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeenshire,48,69,56,55,45,54,60,63,47,31,64,58,53,54,85,76,84,69,63,53,32,34,42,41,,"1,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angus,26,34,29,24,29,34,26,29,19,23,29,33,22,37,42,46,50,34,26,28,23,35,35,29,,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argyll and Bute,16,35,30,25,23,25,26,17,15,22,23,16,29,34,29,41,35,31,24,26,20,20,21,19,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Edinburgh,87,107,86,89,77,106,88,82,91,102,106,93,83,124,174,158,152,154,114,134,115,83,84,71,,"2,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clackmannanshire,11,13,18,16,17,7,20,12,9,11,10,15,14,16,19,11,13,21,21,13,10,12,11,9,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dumfries and Galloway,37,58,42,42,43,44,43,39,37,40,36,41,28,73,53,42,43,45,35,39,31,33,31,37,,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dundee City,35,60,50,40,36,28,32,41,42,28,26,31,30,46,71,78,51,63,41,53,42,36,27,37,,"1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Ayrshire,25,37,40,26,26,30,24,24,34,35,37,39,47,26,38,47,42,36,33,45,26,29,22,29,,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Dunbartonshire,21,25,31,16,29,21,31,16,29,25,20,41,10,44,32,35,48,39,39,26,38,24,24,21,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Lothian,23,34,26,24,17,28,22,19,23,23,23,18,15,26,55,36,36,25,23,25,16,18,24,14,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Renfrewshire,13,26,23,24,18,20,24,18,16,19,10,14,20,20,32,39,28,27,35,31,22,9,19,14,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Falkirk,45,61,36,40,29,31,32,35,31,48,28,31,48,48,57,47,61,63,54,48,39,28,41,36,,"1,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fife,70,96,96,96,79,81,80,88,79,79,80,70,98,82,109,113,102,110,91,81,67,90,71,51,,"2,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow City,123,189,143,114,139,130,113,119,126,154,136,117,77,234,257,224,271,191,162,172,151,127,109,119,,"3,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Highland,59,60,64,52,59,44,42,49,63,48,55,56,41,68,71,66,59,47,59,57,53,54,52,48,,"1,326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverclyde,25,24,28,18,23,23,20,20,26,21,15,23,13,63,64,62,43,36,27,23,26,21,25,22,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midlothian,20,20,14,19,20,17,17,17,21,13,13,19,16,33,33,34,29,50,28,21,20,14,17,12,,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moray,27,23,20,23,15,30,18,19,14,20,21,27,21,25,17,29,18,14,28,15,17,27,24,19,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Na h-Eileanan Siar,9,8,10,10,10,11,3,8,10,6,11,5,5,6,8,8,10,5,2,4,5,7,5,10,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Ayrshire,38,43,38,37,39,24,29,46,30,40,36,36,30,52,46,58,58,48,40,39,44,32,30,32,,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,North Lanarkshire,75,103,83,86,83,82,70,66,65,81,76,71,78,117,133,141,115,107,103,67,65,70,62,65,,"2,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orkney Islands,1,5,2,4,2,5,3,1,4,5,6,7,8,9,11,4,6,3,2,5,8,5,8,2,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perth and Kinross,35,62,39,43,34,35,41,28,35,35,39,28,44,43,54,47,51,43,35,45,40,34,28,23,,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Renfrewshire,43,55,46,43,33,35,39,41,37,43,40,44,26,75,71,81,97,75,53,61,50,42,39,31,,"1,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scottish Borders,20,41,38,29,27,24,25,23,35,32,29,36,23,42,37,31,30,27,24,28,32,18,33,27,,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shetland Islands,5,4,2,2,5,6,4,4,3,4,3,3,9,8,8,3,2,6,6,6,2,5,3,4,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Ayrshire,42,41,36,40,31,34,23,35,35,30,36,26,31,43,47,53,39,38,27,36,29,27,23,27,,829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Lanarkshire,63,91,82,75,68,87,85,78,71,70,67,67,59,114,141,131,123,100,104,101,86,72,72,64,,"2,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stirling,20,18,14,22,21,17,21,18,17,16,17,20,12,32,34,27,23,23,29,24,10,10,17,18,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Dunbartonshire,25,34,25,20,22,16,16,24,21,21,23,25,21,43,43,41,31,42,28,29,21,22,20,28,,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Lothian,36,35,29,33,40,40,44,34,36,28,40,39,30,45,51,43,41,51,42,44,38,41,29,38,,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deaths by location6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Care Home,306,356,318,292,279,285,258,266,266,288,258,274,261,443,600,681,689,638,489,436,350,294,263,234,,"8,824 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Home / Non-institution,305,413,366,333,313,321,350,337,362,347,364,367,354,570,600,530,509,506,437,471,444,402,389,407,,"9,797 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hospital,548,790,632,596,590,604,552,552,539,567,571,544,463,724,769,701,635,529,508,510,428,432,440,389,,"13,613 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other institution,2,8,6,5,6,6,2,7,4,6,5,11,1,7,9,4,3,6,1,4,4,0,1,2,,110 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Figures are provisional and subject to change.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) Figures are based on date of registration.  In Scotland deaths must be registered within 8 days although in practice, the average time between death and registration is around 3 days. More information on days between occurrence and registration can be be found on the NRS website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) Weeks run from Monday to Sunday and are based on the ISO8601 international standard for week numbering.   Note that weeks at the beginning and end of a year can overlap with the previous and subsequent year, so counts may not sum to annual totals published elsewhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4) This average is based on the actual number of death registrations recorded for each corresponding week over the previous five years. Moveable public holidays, when registration offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5) Figures include non-residents.  Deaths are allocated to area based on the usual residence of the deceased.  If the deceased was not a Scottish resident, the death is allocated to the area where the death occurred.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6) Other institutions include clinics, medical centres, prisons and schools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: National Records of Scotland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
